"geometry","file","degree","betweenness","closeness","component"
c(0.31397, 0.175631),"C5_012_calculations.json",3,18,0.0222222222222222,3
c(0.300703, 0.173628),"C5_012_calculations.json",6,106,0.0263157894736842,3
c(0.322498, 0.167043),"C5_012_calculations.json",7,110,0.0263157894736842,3
c(0.332831, 0.174448),"C5_012_calculations.json",1,0,0.0178571428571429,3
c(0.295683, 0.162149),"C5_012_calculations.json",1,0,0.0178571428571429,3
c(0.309739, 0.164157),"C5_012_calculations.json",1,0,0.0178571428571429,3
c(0.318926, 0.1499),"C5_012_calculations.json",3,35,0.0192307692307692,3
c(0.286145, 0.168675),"C5_012_calculations.json",1,0,0.0178571428571429,3
c(0.300703, 0.134036),"C5_012_calculations.json",1,0,0.0142857142857143,3
c(0.332664, 0.180639),"C5_012_calculations.json",1,0,1,46
c(0.319277, 0.187249),"C5_012_calculations.json",1,0,1,46
c(0.338999, 0.175129),"C5_012_calculations.json",1,0,0.0142857142857143,3
c(0.333658, 0.157335),"C5_012_calculations.json",4,35,0.0192307692307692,3
c(0.325803, 0.14257),"C5_012_calculations.json",1,0,0.0142857142857143,3
c(0.278447, 0.173193),"C5_012_calculations.json",3,63,0.0208333333333333,3
c(0.269578, 0.157882),"C5_012_calculations.json",1,0,0.0151515151515152,3
c(0.267821, 0.173444),"C5_012_calculations.json",3,35,0.0161290322580645,3
c(0.331325, 0.143072),"C5_012_calculations.json",1,0,0.0142857142857143,3
c(0.350115, 0.182659),"C5_012_calculations.json",1,0,1,47
c(0.36132, 0.19616),"C5_012_calculations.json",1,0,1,47
c(0.347088, 0.160643),"C5_012_calculations.json",1,0,1,48
c(0.340236, 0.129016),"C5_012_calculations.json",1,0,1,48
c(0.230924, 0.17131),"C5_012_calculations.json",1,0,0.0125,3
c(0.260542, 0.191265),"C5_012_calculations.json",1,0,0.0125,3
c(0.268574, 0.226908),"C5_012_calculations.json",1,0,0.0714285714285714,12
c(0.105924, 0.24498),"C5_012_calculations.json",1,0,0.0163934426229508,4
c(0.119227, 0.212851),"C5_012_calculations.json",3,33,0.0227272727272727,4
c(0.142297, 0.190158),"C5_012_calculations.json",9,119,0.032258064516129,4
c(0.114709, 0.19503),"C5_012_calculations.json",1,0,0.0208333333333333,4
c(0.152108, 0.19749),"C5_012_calculations.json",1,0,0.0208333333333333,4
c(0.106175, 0.183233),"C5_012_calculations.json",1,0,1,49
c(0.122113, 0.171185),"C5_012_calculations.json",1,0,1,49
c(0.138178, 0.174699),"C5_012_calculations.json",3,17,0.0232558139534884,4
c(0.156563, 0.145664),"C5_012_calculations.json",7,84,0.0277777777777778,4
c(0.134664, 0.16491),"C5_012_calculations.json",4,33,0.0238095238095238,4
c(0.127008, 0.175033),"C5_012_calculations.json",1,0,0.0166666666666667,4
c(0.169679, 0.170683),"C5_012_calculations.json",1,0,0.0188679245283019,4
c(0.16173, 0.142236),"C5_012_calculations.json",1,0,0.0188679245283019,4
c(0.123494, 0.161145),"C5_012_calculations.json",1,0,0.0169491525423729,4
c(0.137801, 0.138554),"C5_012_calculations.json",1,0,0.0188679245283019,4
c(0.179552, 0.13253),"C5_012_calculations.json",3,33,0.0204081632653061,4
c(0.170181, 0.142068),"C5_012_calculations.json",1,0,0.0151515151515152,4
c(0.199046, 0.122992),"C5_012_calculations.json",1,0,0.0151515151515152,4
c(0.203564, 0.120984),"C5_012_calculations.json",1,0,1,50
c(0.197122, 0.10743),"C5_012_calculations.json",1,0,1,50
c(0.195281, 0.115127),"C5_012_calculations.json",1,0,1,51
c(0.177711, 0.101406),"C5_012_calculations.json",1,0,1,51
c(0.218624, 0.121862),"C5_012_calculations.json",3,3,0.333333333333333,26
c(0.216616, 0.139307),"C5_012_calculations.json",1,0,0.2,26
